code,Grouping_16,Grouping_6
498521000006103,1,1
60621009,2,2
1022431000000105,3,3
185210004,4,4
1022651000000100,5,5
1022451000000103,6,6
184229000,7,1
266919005,8,2
160573003,9,3
1010671000000102,10,4
65568007,1,1
1015471000000105,2,2
308720009,3,3
3457005,4,4
177184002,5,5
183515008,6,6
182836005,7,1
183452005,8,2
185324002,9,3
438618001,10,4
994351000000103,1,1
160802003,2,2
262043009,3,3
160856005,4,4
1000811000000109,5,5
275144009,6,6
722228009,7,1
416471007,8,2
1017401000000106,9,3
993381000000106,10,4
170356000,1,1
1022501000000100,2,2
408947007,3,3
313193002,4,4
5935008,5,5
713019007,6,6
91936005,7,1
935051000000108,8,2
1000851000000108,9,3
424525001,10,4
310500000,1,1
1010591000000104,2,2
314414007,3,3
183542009,4,4
170625000,5,5
21522001,6,6
161713000,7,1
172630005,8,2
243816001,9,3
168345000,10,4
